weekday freetime(h),weekday freetime(m),weekend freetime(h),weekend freetime(m),age,gender,area,최종 학력,job,household income,library,read place,choice_information,reading.activity,reading.club,read preference,read frequency,book_weekday(h),book_weekday(m),book_weekend(h),book_weekend(m),ebook_weekday(h),ebook_weekday(m),ebook_weekend(h),ebook_weekend(m)
4,0,10,0,37,1,1,6,15,3,2,,,2,2,3,5,0,0,0,0,0,0,0,0
4,0,6,0,37,1,1,5,11,5,2,,,2,2,4,5,0,0,0,0,0,0,0,0
2,0,2,0,37,2,1,6,13,4,2,1,1,2,2,1,1,1,0,0,0,0,0,0,0
2,0,5,0,37,2,1,5,4,5,2,,,2,2,3,5,0,0,0,0,0,0,0,0
3,0,6,0,37,2,1,6,13,6,2,1,5,2,2,4,2,0,30,0,30,0,0,0,0
4,0,6,0,37,2,1,4,5,5,2,,,2,2,3,5,0,0,0,0,0,0,0,0
4,0,8,0,37,2,1,4,13,6,2,,,2,2,3,5,0,0,0,0,0,0,0,0
5,0,4,0,37,2,1,6,3,6,2,3,1,2,2,3,2,0,30,0,20,0,0,0,0
1,30,5,0,38,1,1,6,3,5,2,1,3,2,2,3,3,0,0,1,0,0,0,0,0
1,30,7,0,38,1,1,6,3,4,2,6,5,2,2,2,2,0,10,0,0,0,20,1,0
2,0,2,0,38,1,1,4,5,4,2,,,2,2,4,5,0,0,0,0,0,0,0,0
2,0,4,0,38,1,1,6,3,5,2,2,4,2,2,3,2,0,0,0,0,0,30,1,0
2,0,8,0,38,1,1,6,5,3,2,1,1,2,2,3,2,0,10,0,10,0,30,2,0
3,0,4,0,38,1,1,6,3,6,2,1,1,2,2,3,4,0,0,1,0,0,0,0,0
3,0,4,0,38,1,1,5,3,4,2,1,7,2,2,2,1,0,30,0,20,0,0,0,0
3,0,5,0,38,1,1,6,3,6,2,,,2,2,3,5,0,0,0,0,0,0,0,0
3,0,8,0,38,1,1,4,4,4,2,,,2,2,4,5,0,0,0,0,0,0,0,0
3,0,8,0,38,1,1,6,3,4,2,1,4,2,2,2,2,2,0,1,0,0,0,0,0
4,0,5,0,38,1,1,6,3,5,2,3,10,2,2,3,1,0,0,0,0,0,20,0,0
6,0,6,0,38,1,1,4,8,5,2,1,8,2,2,3,2,1,0,1,0,0,0,0,0
1,30,3,0,38,2,1,6,4,4,2,1,4,2,2,2,2,0,30,1,0,1,0,2,0
2,0,1,0,38,2,1,6,2,6,2,1,7,2,2,2,2,0,30,0,0,0,0,0,0
2,0,3,0,38,2,1,5,4,8,2,,,2,2,5,5,0,0,0,0,0,0,0,0
2,0,8,0,38,2,1,5,7,3,2,1,1,2,2,3,3,0,0,0,0,0,0,1,0
2,30,3,0,38,2,1,5,4,5,2,1,7,2,2,2,1,0,20,0,10,0,20,0,20
2,30,3,0,38,2,1,6,13,5,2,1,1,2,2,2,2,0,30,1,0,0,0,0,0
3,0,4,0,38,2,1,4,11,5,2,,,2,2,4,5,0,0,0,0,0,0,0,0
3,0,4,0,38,2,1,6,3,8,2,1,1,2,2,2,3,2,0,0,0,0,0,0,0
3,0,5,0,38,2,1,6,3,6,2,3,5,2,2,3,3,0,0,0,0,0,0,1,0
3,0,6,0,38,2,1,6,13,5,2,1,5,2,2,2,2,0,10,0,20,0,0,0,0
3,30,2,20,38,2,1,4,13,5,2,1,1,2,2,3,1,0,20,0,20,0,0,0,0
4,0,6,0,38,2,1,4,5,5,2,,,2,2,3,5,0,0,0,0,0,0,0,0
4,30,4,30,38,2,1,5,5,5,2,,,2,2,3,5,0,0,0,0,0,0,0,0
5,0,1,0,38,2,1,6,13,4,2,6,4,2,2,2,1,2,0,0,0,0,0,0,0
1,0,3,0,39,1,1,6,4,5,2,1,1,2,2,3,3,0,10,0,10,0,0,0,0
2,0,4,0,39,1,1,6,11,4,2,1,4,2,2,2,3,0,0,0,10,0,0,0,0
2,0,4,0,39,1,1,6,3,5,2,3,8,2,2,3,3,0,10,0,0,1,0,0,30
2,0,8,0,39,1,1,7,11,6,2,3,1,2,2,2,2,1,0,3,0,0,0,0,0
3,0,5,0,39,1,1,4,5,4,2,,,2,2,4,5,0,0,0,0,0,0,0,0
4,0,4,0,39,1,1,5,11,6,2,,,2,2,4,5,0,0,0,0,0,0,0,0
4,0,8,0,39,1,1,6,3,5,2,1,1,2,2,3,2,0,0,2,0,0,0,2,0
1,0,3,0,39,2,1,4,5,3,2,1,5,2,2,4,4,0,0,0,20,0,0,0,0
1,0,8,0,39,2,1,6,4,4,2,1,2,2,2,2,2,0,20,0,0,0,20,1,30
2,0,2,0,39,2,1,6,13,6,2,1,1,2,2,3,2,1,0,1,30,0,0,0,0
2,0,3,0,39,2,1,5,13,4,2,1,5,2,2,3,3,0,30,0,30,0,0,0,0
2,0,6,0,39,2,1,4,13,5,2,,,2,2,3,5,0,0,0,0,0,0,0,0
2,0,6,0,39,2,1,4,13,4,2,,,2,2,4,5,0,0,0,0,0,0,0,0
2,40,3,30,39,2,1,5,13,4,2,1,1,2,2,2,2,0,20,0,20,0,20,0,20
3,0,7,0,39,2,1,6,4,5,2,1,8,2,2,3,3,0,30,0,30,0,0,0,0
6,0,6,0,39,2,1,6,13,5,2,1,5,2,2,3,2,0,0,0,0,0,30,0,30
5,0,7,0,40,1,1,4,4,4,2,,,2,2,3,5,0,0,0,0,0,0,0,0
1,0,5,0,40,2,1,4,13,4,2,,,2,2,4,5,0,0,0,0,0,0,0,0
3,0,3,0,40,2,1,4,13,4,2,,,2,2,4,5,0,0,0,0,0,0,0,0
1,30,3,0,41,1,1,6,3,5,2,,,2,2,4,5,0,0,0,0,0,0,0,0
2,0,4,0,41,1,1,4,5,4,2,1,6,2,2,4,4,0,0,0,30,0,0,0,0
3,0,5,0,41,1,1,4,4,4,2,,,2,2,5,5,0,0,0,0,0,0,0,0
3,0,5,0,41,1,1,6,3,7,2,3,3,2,2,3,1,0,20,0,20,0,0,0,0
